IdPoliza,NumPoliza,FormaPago,FechaInicio,FechaVencimiento,FechaCobranza,Prima,Estatus,IdCompania,IdAsegurado,IdUnidad
1,M645721062,ANUAL,25/9/2025,25/9/2026,,,Activa,1,1,1
2,M645714005-1,TRIMESTRAL,30/6/2025,30/6/2026,,,Activa,1,2,2
3,M645714005-3,TRIMESTRAL,30/6/2025,30/6/2026,,,Activa,2,2,3
4,M645714005-4,TRIMESTRAL,30/6/2025,30/6/2026,,,Activa,1,2,4
5,M645714005-5,TRIMESTRAL,30/6/2025,30/6/2026,,,Cancelada,1,2,5
6,M645714005-6,TRIMESTRAL,30/6/2025,30/6/2026,,,Activa,1,2,6
7,M645714005-7,TRIMESTRAL,30/6/2025,30/6/2026,,,Activa,1,2,7
8,M645714005-8,TRIMESTRAL,30/6/2025,30/6/2026,,,Activa,1,2,8
9,M645714005-9,TRIMESTRAL,30/6/2025,30/6/2026,,,Activa,1,2,9
10,M645714005-10,TRIMESTRAL,30/6/2025,30/6/2026,,,Activa,1,2,10
11,M645714005-11,TRIMESTRAL,30/6/2025,30/6/2026,,,Activa,1,2,11
12,M645714005-2,TRIMESTRAL,30/6/2025,30/6/2026,,,Cancelada,1,2,12
13,M644719022-13,TRIMESTRAL,28/6/2024,28/6/2025,,,Cancelada,1,2,13
14,M644719022-1,TRIMESTRAL,28/6/2024,28/6/2025,,,Cancelada,1,2,14
15,M644719022-4,TRIMESTRAL,28/6/2024,28/6/2025,,,Cancelada,1,2,15
16,M644719022-5,TRIMESTRAL,28/6/2024,28/6/2025,,,Cancelada,1,2,16
17,M644719022-6,TRIMESTRAL,28/6/2024,28/6/2025,,,Cancelada,1,2,17
18,M644719022-8,TRIMESTRAL,28/6/2024,28/6/2025,,,Cancelada,1,2,18
19,M645717194,ANUAL,29/7/2025,29/7/2026,,,Activa,1,3,19
20,M644716153,TRIMESTRAL,10/6/2024,10/6/2025,,,Cancelada,1,4,20
